axiom_id	constraint_id	constraint_type	description	evidence_source	positive_cases	known_failures	validated_projects	last_validated	status
1	1.1	MUST	新增记录回写父引用（来源记录、上下文实体、状态默认值、拥有者）	几建: 162/162新增节点	162	跨表创建时漏回写父引用→孤儿记录	几建,尚策	2026-06-25	observed
1	1.2	MUST	主子表先建主记录后建子记录	几建: 8个工作流	8	并发场景下主子ID获取时序问题	几建	2026-06-25	observed
1	1.3	MUST	查询工作表按记录ID精确查找；未获取到→继续执行	几建: 25+查询节点	25	模糊条件查询多条匹配时取第一条→数据错位	几建,尚策	2026-06-25	observed
1	1.4	MUST	流程参数用拼音缩写+id/ID命名，携带语义	几建: 全部参数	—	param1,recordId等无意义参数名→维护者无法理解数据流	几建,赫立-合同管理	2026-06-25	observed
1	1.5	MUST	可复用逻辑→封装模板，定义输入/输出参数	几建: 9个封装	9	在多个工作流中复制相同节点序列→修改时遗漏	几建	2026-06-25	observed
1	1.6	MUST	获取关联记录→直接获取（快照）；数值/日期运算→直接计算（缓存）	几建: 45获取/9数值/6日期	60	动态获取→引用数据被后续节点修改后不一致	几建	2026-06-25	observed
1	1.7	MUST	日期字段用系统触发时间或明确的计算结果	几建: 全部日期字段	—	留空让用户手动填写→数据质量问题	几建	2026-06-25	observed
1	1.8	MUST_NOT	禁止创建无法追溯到来源的孤儿记录	几建: 0例违反	0	—	几建	2026-06-25	observed
1	1.9	MUST_NOT	禁止先子后主或建子时不回写父引用	几建: 0例违反	0	—	几建	2026-06-25	observed
1	1.10	MUST_NOT	禁止模糊条件查询；禁止未获取到→中止	几建: 0例违反	0	—	几建	2026-06-25	observed
1	1.11	MUST_NOT	禁止每次使用时动态获取/计算	几建: 0例违反	0	—	几建	2026-06-25	observed
2	2.1	MUST	人工决策→自定义动作(按钮)触发	几建: 按钮56 vs 定时12	56	用定时触发代替人工判断→自动化误操作	几建,尚策,赫立-合同管理	2026-06-25	observed
2	2.2	MUST	审批每级一人或签；退回目标=仅发起节点；限时+邮件=开启	几建: 全部审批	—	会签阻塞、退回任意节点→流程不可控	几建	2026-06-25	observed
2	2.3	MUST	审批人为空时由流程拥有者代理	几建: 全部审批	—	审批人为空时中止→流程卡住	几建	2026-06-25	observed
2	2.4	MUST	自动通过仅限已审批过的审批人	几建: 全部审批	—	发起人自动通过自己的审批→无监督	几建	2026-06-25	observed
2	2.5	MUST_NOT	禁止用定时触发代替人工判断	几建: 定时仅12个(辅助)	—	定时自动触发审批→失去人在回路的控制	几建	2026-06-25	observed
2	2.6	MUST_NOT	禁止会签；禁止退回任意节点；禁止关闭限时或邮件	几建: 0例违反	0	—	几建	2026-06-25	observed
2	2.7	MUST_NOT	禁止审批人为空时中止或跳过	几建: 0例违反	0	—	几建	2026-06-25	observed
